table_name,column_name,display_name,description,example_value
part,part_class,Part Class (Make / Buy),"How a part is sourced: manufactured in-house, purchased, raw material, hardware, or outside service. Reflects engineering's make-vs-buy intent.",MAKE
part,part_description,Part Description,Free-text part description for the part.,Titanium Bulkhead Frame 6Al-4V
part,part_id,Part ID,Unique identifier for each part record.,P-10010
part,reorder_point,Reorder Point,Numeric reorder point recorded for each part.,4467.18
part,revision,Revision,The revision of each part; one of a small set of values such as: A.,A
part,unit_cost,Unit Cost,Numeric unit cost recorded for each part.,4250.0
part,unit_of_measure,Unit Of Measure,"The unit of measure of each part; one of a small set of values such as: EA, FT, LB.",EA
payable_line,amount,Amount,Numeric amount recorded for each payable line.,731.04
payable_line,created_at,Created At,Timestamp for when the payable line record was created.,2026-06-06 05:16:25
payable_line,invoice_id,Invoice ID,Links each payable line to its related invoice.,1
payable_line,line_no,Line No.,Numeric line no. recorded for each payable line.,1
payable_line,part_id,Part ID,Links each payable line to its related part.,PN-10060
payable_line,payable_line_id,Payable Line ID,Unique identifier for each payable line record.,1
payable_line,po_id,PO ID,Links each payable line to its related po.,PO-M240005
payable_line,qty,Quantity,Numeric quantity recorded for each payable line.,4.0
po_line,created_at,Created At,Timestamp for when the po line record was created.,2026-06-01 00:48:21
po_line,line_id,Line ID,Unique identifier for each po line record.,1
po_line,line_total,Line Total,Numeric line total recorded for each po line.,331.9
po_line,part_description,Part Description,Free-text part description for the po line.,"Hydraulic Actuator Seal Kit, Parker A2K"
po_line,part_id,Part ID,Links each po line to its related part.,PN-10070
po_line,po_id,PO ID,Links each po line to its related po.,PO-M240001
po_line,quantity,Quantity,Numeric quantity recorded for each po line.,5.0
po_line,unit_cost,Unit Cost,Numeric unit cost recorded for each po line.,66.38
purchase_order,buyer_id,Buyer ID,Links each purchase order to its related buyer.,BUYER-1
purchase_order,created_at,Created At,Timestamp for when the purchase order record was created.,2026-06-01 00:48:21
purchase_order,po_date,PO Date,The po date for the purchase order.,2026-03-04
purchase_order,po_id,PO ID,Unique identifier for each purchase order record.,PO-000117
purchase_order,po_type,PO Type,"The po type of each purchase order; one of a small set of values such as: material, outside_service.",material
purchase_order,required_date,Required Date,The required date for the purchase order.,2026-03-28
purchase_order,service_id,Service ID,Links each purchase order to its related service.,NDT-UT
purchase_order,site_id,Site ID,Links each purchase order to its related site.,SITE-1
purchase_order,status,PO Status,"Lifecycle stage of a purchase order: open, approved, partially or fully received, or closed.",RECEIVED
purchase_order,supplier_id,Supplier ID,Links each purchase order to its related supplier.,S-002
purchase_order,total_cost,Total Cost,Numeric total cost recorded for each purchase order.,8180.62
purchase_order,wo_id,Wo ID,Links each purchase order to its related wo.,WO-240001
receiving,cert_required,Certification Required,Yes/no flag indicating whether the receiving certification required.,0
receiving,created_at,Created At,Timestamp for when the receiving record was created.,2026-06-01 00:48:21
receiving,inspection_status,Receiving Inspection Status,"Quality disposition of a received shipment: pending inspection, passed, or failed / rejected.",PASS
receiving,part_id,Part ID,Links each receiving to its related part.,PN-10060
receiving,po_id,PO ID,Links each receiving to its related po.,PO-M240005
receiving,quantity_ordered,Quantity Ordered,Numeric quantity ordered recorded for each receiving.,4.0
receiving,quantity_received,Quantity Received,Numeric quantity received recorded for each receiving.,4.0
receiving,receipt_date,Receipt Date,The receipt date for the receiving.,2026-01-17
receiving,receipt_id,Receipt ID,Unique identifier for each receiving record.,1
receiving,supplier_id,Supplier ID,Links each receiving to its related supplier.,S-006
requirement,actual_qty,Actual Quantity,Numeric actual quantity recorded for each requirement.,22.1
requirement,component_id,Component ID,Links each requirement to its related component.,WO-00051
requirement,component_type,Requirement Component Type,"Whether a resource requirement belongs to a PART (the as-designed routing standard — engineering, costed per unit) or a WORK_ORDER (as-built actuals — manufacturing, costed per batch). This is the engineering-vs-manufacturing differentiator.",PART
requirement,created_at,Created At,Timestamp for when the requirement record was created.,2026-06-12 04:42:36
requirement,extended_cost,Extended Cost,Numeric extended cost recorded for each requirement.,408.85
requirement,material_part_id,Material Part ID,Links each requirement to its related material part.,P-10015
requirement,operation_rowid,Operation Rowid,Numeric operation rowid recorded for each requirement.,216
requirement,operation_seq,Operation Seq,Numeric operation seq recorded for each requirement.,20
requirement,requirement_id,Requirement ID,Unique identifier for each requirement record.,REQ-WO-00051-20
requirement,requirement_level,Requirement Level,The requirement level of each requirement; one of a small set of values such as: WORK_ORDER.,WORK_ORDER
requirement,requirement_type,Requirement Type,The requirement type of each requirement; one of a small set of values such as: MATERIAL.,MATERIAL
requirement,std_qty,Std Quantity,Numeric std quantity recorded for each requirement.,2.21
requirement,unit_cost,Unit Cost,Numeric unit cost recorded for each requirement.,18.5
service,base_charge,Base Charge,Numeric base charge recorded for each service.,85.0
service,created_at,Created At,Timestamp for when the service record was created.,2026-06-01 00:48:21
service,default_vendor,Default Vendor,"The default vendor of each service; one of a small set of values such as: S-008, S-009, S-010, S-011.",S-008
service,description,Description,Free-text description for the service.,"Anodize Type III Hard Coat, MIL-A-8625"
service,service_id,Service ID,Unique identifier for each service record.,ANODIZE-II
shop_resource,active,Active,Yes/no flag indicating whether the shop resource active.,1
shop_resource,bur_per_hr_run,Bur Per Hr Run,Numeric bur per hr run recorded for each shop resource.,42.0
shop_resource,created_at,Created At,Timestamp for when the shop resource record was created.,2026-06-01 00:48:21
shop_resource,description,Description,Free-text description for the shop resource.,"CNC Milling Cell #1, Haas VF-4"
shop_resource,resource_id,Resource ID,Unique identifier for each shop resource record.,ASSEM-LINE-1
shop_resource,resource_type,Resource Type,"The resource type of each shop resource; one of a small set of values such as: M, L, S.",M
shop_resource,run_cost_per_hr,Run Cost Per Hr,Numeric run cost per hr recorded for each shop resource.,95.0
site,created_at,Created At,Timestamp for when the site record was created.,2026-06-06 05:16:25
site,region,Region,"The region of each site; one of a small set of values such as: US-Central, US-Southwest, US-Northwest.",US-Central
site,site_id,Site ID,Unique identifier for each site record.,SITE-1
site,site_name,Site Name,Human-readable name of the site.,Main Assembly Plant — Wichita KS
suppliers,active,Active,Yes/no flag indicating whether the suppliers active.,1
suppliers,address,Address,The address for each suppliers record.,
suppliers,category,Category,"The category of each suppliers; one of a small set of values such as: Raw Material, Sub-Assembly, MRO, Outside Service, material, hardware.",Raw Material
suppliers,certification_level,Certification Level,"The certification level of each suppliers; one of a small set of values such as: AS9100D, NADCAP, ISO9001, NADCAP/HT, NADCAP/CHEM, NADCAP/NDT.",AS9100D
suppliers,contact_email,Contact Email,The contact email for each suppliers record.,
suppliers,created_date,Created Date,Timestamp for when the suppliers record was created.,2026-06-01 00:48:21
suppliers,lead_time_days,Lead Time Days,Numeric lead time days recorded for each suppliers.,14
suppliers,outside_service,Outside Service,Yes/no flag indicating whether the suppliers outside service.,0
suppliers,payment_terms,Payment Terms,"The payment terms of each suppliers; one of a small set of values such as: Net 45, Net 30, Net 60, Net 15, Net30, Net45.",Net 45
suppliers,performance_rating,Performance Rating,Numeric performance rating recorded for each suppliers.,4.46
suppliers,phone,Phone,The phone for each suppliers record.,
suppliers,supplier_id,Supplier ID,Unique identifier for each suppliers record.,S-001
suppliers,supplier_name,Supplier Name,Human-readable name of the supplier.,Precision Aerospace Corp
trace,created_at,Created At,Timestamp for when the trace record was created.,2026-06-06 05:16:25
trace,expiration_date,Expiration Date,The expiration date for the trace.,2028-04-15
trace,in_qty,In Quantity,Numeric in quantity recorded for each trace.,18.0
trace,lot_id,Lot ID,Links each trace to its related lot.,LOT-WO-240003
trace,out_qty,Out Quantity,Numeric out quantity recorded for each trace.,0.0
trace,part_id,Part ID,Links each trace to its related part.,PN-10200
trace,production_date,Production Date,The production date for the trace.,2026-04-16
trace,serial_id,Serial ID,Links each trace to its related serial.,SN-WO-240003-469
trace,site_id,Site ID,Links each trace to its related site.,SITE-1
trace,trace_id,Trace ID,Unique identifier for each trace record.,1
trace_inventory_trace,created_at,Created At,Timestamp for when the trace inventory trace record was created.,2026-06-06 05:16:25
trace_inventory_trace,part_id,Part ID,Links each trace inventory trace to its related part.,PN-10200
trace_inventory_trace,qty,Quantity,Numeric quantity recorded for each trace inventory trace.,18.0
trace_inventory_trace,trace_id,Trace ID,Links each trace inventory trace to its related trace.,1
trace_inventory_trace,trace_inv_id,Trace Inv ID,Unique identifier for each trace inventory trace record.,1
trace_inventory_trace,transaction_id,Transaction ID,Links each trace inventory trace to its related transaction.,469
work_order,act_bur_cost,Act Bur Cost,Numeric act bur cost recorded for each work order.,0.0
work_order,act_lab_cost,Act Lab Cost,Numeric act lab cost recorded for each work order.,0.0
work_order,act_mat_cost,Act Mat Cost,Numeric act mat cost recorded for each work order.,0.0
work_order,act_ser_cost,Act Ser Cost,Numeric act ser cost recorded for each work order.,0.0
work_order,close_date,Close Date,The close date for the work order.,2026-04-16
work_order,created_at,Created At,Timestamp for when the work order record was created.,2026-06-01 00:48:21
work_order,desired_rls_date,Desired Release Date,The date the planner wants the job released to the floor — on or before its first step begins — so material and capacity are lined up when work starts.,2025-04-09
work_order,open_date,Open Date,The open date for the work order.,2026-03-05
work_order,outside_service,Outside Service,Yes/no flag indicating whether the work order outside service.,1
work_order,part_description,Part Description,Free-text part description for the work order.,"Titanium Hex Bolt AN3-10A, 3/8-24 UNF"
work_order,part_id,Part ID,Links each work order to its related part.,PN-10010
work_order,quantity,Build Quantity,Number of units the work order releases to the floor (the lot / batch size). One unit reflects the engineering per-unit standard; greater than one is a manufacturing batch.,50
work_order,required_date,Required Date,The required date for the work order.,2026-03-27
work_order,routing_template,Routing Template,"The routing template of each work order; one of a small set of values such as: COMPOSITE, BRACKET, AIRFRAME, FASTENER, WELDMENT, MACHINED.",COMPOSITE
work_order,sched_finish_date,Scheduled Finish Date,"When the job is planned to be finished: the finish of its last routing step. Read from the operation schedule, so it reflects the planned completion of the whole job.",2025-04-21
work_order,sched_start_date,Scheduled Start Date,"When the job is planned to begin: the start of its earliest routing step. Read from the operation schedule, so it reflects when the first step is set to begin on the floor.",2025-04-09
work_order,service_date,Service Date,The date the outside-service step for this work order is due.,2026-03-10
work_order,site_id,Site ID,Links each work order to its related site.,SITE-1
work_order,status,Work Order Status,"Shop-floor lifecycle stage of the work order: open, released, in process, complete, or closed.",IN PROCESS
work_order,vendor_id,Vendor ID,The outside-service vendor that performs work for this work order.,S-010
work_order,wo_id,Wo ID,Unique identifier for each work order record.,WO-00051
work_order,workorder_type,Workorder Type,"The workorder type of each work order; one of a small set of values such as: M, W.",M
